Driver,session_id,season,Avg_Lap_Time,Avg_Sector_1_Time,Avg_Sector_2_Time,Avg_Sector_3_Time
11,2019_15,2019,117.8752,30.3098,46.544857,47.6585
99,2019_15,2019,115.538555,31.3956,46.136714,45.559846
10,2019_15,2019,118.135375,32.381125,46.939083,45.58525
7,2019_15,2019,117.7808,31.7198,45.804071,44.836214
20,2019_15,2019,114.5449,30.0856,43.712928,43.501642
26,2019_15,2019,118.378,31.3354,45.976571,52.293714
18,2019_15,2019,112.716,31.2085,47.37625,44.75725
8,2019_15,2019,114.3564,30.838833,45.882625,43.629428
63,2019_15,2019,118.2086,30.076,47.447571,47.765285
88,2019_15,2019,118.7825,31.849666,47.698666,53.510666
3,2019_15,2019,113.274363,30.392833,46.338111,47.383705
16,2019_16,2019,107.241909,37.943583,36.841529,33.46825
44,2019_16,2019,106.3282,39.106636,36.558882,33.869937
5,2019_16,2019,106.358307,38.4122,35.542809,34.517842
33,2019_16,2019,101.987125,39.149,35.9798,32.497076
77,2019_16,2019,105.5235,37.174833,37.004352,37.045058
55,2019_16,2019,108.469384,38.194071,37.97535,36.153157
27,2019_16,2019,108.1543,38.765,37.438333,35.640066
4,2019_16,2019,107.822615,38.898071,37.53,34.417842
8,2019_16,2019,104.8881,38.305384,38.542526,38.759666
3,2019_16,2019,106.241,38.477333,37.379444,35.553705
10,2019_16,2019,109.68075,39.878333,38.043461,39.525692
11,2019_16,2019,109.008,38.0444,37.438714,38.58323
99,2019_16,2019,106.735,39.1481,36.719142,35.572153
20,2019_16,2019,109.346125,38.154666,39.635923,36.209083
18,2019_16,2019,108.540111,37.3359,37.256142,36.416384
7,2019_16,2019,109.038833,39.714333,36.702375,35.61825
63,2019_16,2019,110.39725,41.246,39.766428,43.876857
88,2019_16,2019,117.896833,39.227833,37.977625,39.804375
23,2019_16,2019,113.5295,38.974333,38.611,34.1525
26,2019_16,2019,,,,
5,2019_17,2019,99.880375,34.488333,45.483928,25.011571
16,2019_17,2019,101.487875,36.196,44.940285,23.414571
77,2019_17,2019,102.324785,36.720466,47.0006,21.839842
44,2019_17,2019,101.302833,37.906142,47.798421,22.771833
33,2019_17,2019,98.7486,35.0241,45.268066,22.5908
23,2019_17,2019,100.185727,34.219,46.626944,25.0215
55,2019_17,2019,105.625272,35.646833,47.65021,24.391684
4,2019_17,2019,102.112333,34.844153,46.15619,24.500368
10,2019_17,2019,102.25825,36.036333,46.544,24.481631
8,2019_17,2019,104.844333,35.609,47.582133,23.629333
99,2019_17,2019,100.816625,34.642625,46.5,25.835
18,2019_17,2019,97.465571,33.836857,45.774181,22.130727
7,2019_17,2019,102.078625,37.557333,45.508461,24.172692
26,2019_17,2019,98.750555,34.864,45.536785,24.455285
27,2019_17,2019,100.453833,34.888714,47.5325,23.401909
3,2019_17,2019,100.9535,36.7735,45.160666,22.688166
11,2019_17,2019,103.6554,35.0786,47.196285,22.074285
63,2019_17,2019,99.8156,34.259,45.803777,26.584125
20,2019_17,2019,,31.236,46.241,26.875
88,2019_17,2019,,,47.866,
33,2019_18,2019,87.3628,31.0482,33.180533,25.741066
16,2019_18,2019,86.026,29.806583,34.448117,24.261823
5,2019_18,2019,87.876,31.273916,32.984823,25.157117
44,2019_18,2019,88.785066,30.815133,33.32655,25.3707
23,2019_18,2019,89.637692,30.981615,34.148333,25.547222
77,2019_18,2019,86.446666,29.384538,32.875055,24.875555
55,2019_18,2019,88.344461,29.848923,34.359,26.736315
4,2019_18,2019,88.222428,30.8995,34.46555,25.52805
26,2019_18,2019,87.024125,30.788875,34.156636,24.687545
10,2019_18,2019,90.15475,31.053687,35.854681,25.625045
11,2019_18,2019,87.616,29.6827,35.300357,26.167214
27,2019_18,2019,87.8391,30.1322,34.856857,25.9485
3,2019_18,2019,89.115,30.9959,35.657357,25.738428
7,2019_18,2019,88.3544,31.168,34.641428,24.829571
99,2019_18,2019,87.3944,30.6697,34.134785,25.674857
18,2019_18,2019,87.910333,30.475,33.616375,26.513875
20,2019_18,2019,85.779166,29.978,33.151777,25.171555
8,2019_18,2019,90.859,31.594666,34.978222,25.718666
63,2019_18,2019,90.375714,30.116142,35.4867,26.355
88,2019_18,2019,91.4385,30.6485,36.321222,24.647333
77,2019_19,2019,107.739916,29.080166,42.85747,39.093294
5,2019_19,2019,107.654454,29.397272,43.186125,38.6935
33,2019_19,2019,104.4529,28.7747,42.5764,37.321066
16,2019_19,2019,106.85823,29.079923,43.218631,37.893368
44,2019_19,2019,110.6905,28.384416,43.980117,39.920941
23,2019_19,2019,106.4848,29.1152,43.068857,37.149857
55,2019_19,2019,107.9369,28.514,45.578466,40.640666
4,2019_19,2019,106.869166,29.479,44.433444,39.230277
3,2019_19,2019,106.2618,29.6333,44.974866,39.957533
10,2019_19,2019,110.58123,30.868769,44.434368,38.895105
27,2019_19,2019,104.671375,28.54,43.797666,39.19025
20,2019_19,2019,103.24675,27.83425,43.5565,37.93725
26,2019_19,2019,105.905,29.1184,43.052142,40.007714
18,2019_19,2019,104.1475,28.5431,42.05,38.294
8,2019_19,2019,106.8711,28.0893,44.484357,39.382785
99,2019_19,2019,108.797833,29.145833,43.560875,37.646
7,2019_19,2019,108.986666,30.4505,42.479875,37.39775
63,2019_19,2019,103.496833,28.041166,42.706333,36.868777
11,2019_19,2019,108.02625,29.1455,42.3928,37.2278
88,2019_19,2019,104.461,29.200166,42.849555,37.432333
33,2019_20,2019,78.7265,19.71525,42.189,18.994333
5,2019_20,2019,82.407,20.537,43.1868,19.577933
44,2019_20,2019,83.419545,21.76809,43.641312,19.17925
16,2019_20,2019,79.871076,20.3035,43.75505,18.208894
77,2019_20,2019,81.526727,20.730583,44.321647,19.084125
23,2019_20,2019,80.2763,20.087,42.684857,19.648
10,2019_20,2019,80.104,20.482812,42.477454,18.353285
8,2019_20,2019,80.9017,19.3966,43.998312,20.047125
7,2019_20,2019,81.563357,20.779785,41.80655,19.61205
20,2019_20,2019,77.560666,19.7699,43.543733,19.371571
4,2019_20,2019,81.818555,20.320555,44.106076,19.506153
3,2019_20,2019,80.831125,20.475375,43.411083,19.66375
99,2019_20,2019,81.116,19.9295,42.269714,19.281571
27,2019_20,2019,79.59775,20.0885,43.8965,19.24875
11,2019_20,2019,79.9632,20.1057,41.504428,19.480714
26,2019_20,2019,81.756,20.18475,42.2351,19.0716
18,2019_20,2019,85.124,21.124571,44.700444,20.631222
63,2019_20,2019,81.180666,21.001333,40.470111,20.385
88,2019_20,2019,81.994166,20.307333,43.536,19.638333
55,2019_20,2019,81.912,17.728,44.1735,23.78
44,2019_21,2019,109.465,20.398615,48.312388,47.891833
77,2019_21,2019,113.937818,19.91909,49.698666,48.186733
33,2019_21,2019,107.8677,19.1771,46.704466,46.196333
16,2019_21,2019,113.223545,20.36409,48.506,48.733
5,2019_21,2019,113.01509,21.292,47.922812,49.394062
23,2019_21,2019,111.772333,19.692133,47.806285,47.841476
4,2019_21,2019,112.44009,19.637909,47.89947,50.586882
3,2019_21,2019,111.9723,20.3421,47.335733,48.455666
55,2019_21,2019,114.423545,19.095909,48.965588,51.132529
